system,split,beam_size,normalization,weight_token_logprob_avg,weight_summac_style_score,weight_factcc_style_score,weight_entity_support_score,rouge1,rouge2,rougeL,rougeLsum,summac_style_score,factcc_style_score,entity_support_score,factuality_composite,summary_len_tokens
custom_0257,val_tune,16,zscore,0.5,0.0,0.25,0.5,0.465192,0.235042,0.375443,0.375443,0.230101,0.416801,0.687611,0.444838,23.453125
custom_0514,val_tune,16,zscore,1.0,0.0,0.5,1.0,0.465192,0.235042,0.375443,0.375443,0.230101,0.416801,0.687611,0.444838,23.453125
custom_0041,val_tune,8,zscore,0.0,0.25,0.75,0.25,0.461837,0.230283,0.375466,0.375466,0.254074,0.424873,0.655404,0.444783,24.03125
custom_0046,val_tune,8,zscore,0.0,0.25,1.0,0.25,0.461837,0.230283,0.375466,0.375466,0.254074,0.424873,0.655404,0.444783,24.03125
custom_0071,val_tune,8,zscore,0.0,0.5,1.0,0.25,0.461837,0.230283,0.375466,0.375466,0.254074,0.424873,0.655404,0.444783,24.03125
custom_0087,val_tune,8,zscore,0.0,0.75,0.5,0.5,0.466281,0.232033,0.378155,0.378155,0.273845,0.400325,0.66009,0.444753,23.828125
custom_0086,val_tune,8,zscore,0.0,0.75,0.5,0.25,0.465361,0.231991,0.377603,0.377603,0.273818,0.400581,0.65986,0.444753,24.046875
custom_0111,val_tune,8,zscore,0.0,1.0,0.5,0.25,0.466154,0.231991,0.378078,0.378078,0.273851,0.400352,0.660045,0.444749,23.84375
custom_0035,val_tune,8,zscore,0.0,0.25,0.5,0.0,0.462442,0.230149,0.376132,0.376132,0.254022,0.424949,0.655103,0.444692,24.03125
custom_0040,val_tune,8,zscore,0.0,0.25,0.75,0.0,0.462442,0.230149,0.376132,0.376132,0.254022,0.424949,0.655103,0.444692,24.03125
custom_0045,val_tune,8,zscore,0.0,0.25,1.0,0.0,0.462442,0.230149,0.376132,0.376132,0.254022,0.424949,0.655103,0.444692,24.03125
custom_0070,val_tune,8,zscore,0.0,0.5,1.0,0.0,0.462442,0.230149,0.376132,0.376132,0.254022,0.424949,0.655103,0.444692,24.03125
custom_0245,val_tune,8,zscore,0.25,1.0,1.0,0.0,0.463426,0.231683,0.376882,0.376882,0.269106,0.407663,0.657248,0.444672,24.1875
custom_0194,val_tune,8,zscore,0.25,0.5,0.75,1.0,0.465608,0.232258,0.37897,0.37897,0.264437,0.408804,0.660696,0.444646,24.265625
custom_0256,val_tune,16,zscore,0.5,0.0,0.25,0.25,0.46052,0.22998,0.373852,0.373852,0.232552,0.42697,0.67436,0.444627,23.640625
custom_0512,val_tune,16,zscore,1.0,0.0,0.5,0.5,0.46052,0.22998,0.373852,0.373852,0.232552,0.42697,0.67436,0.444627,23.640625
custom_0215,val_tune,8,zscore,0.25,0.75,0.75,0.0,0.463737,0.232799,0.377193,0.377193,0.268904,0.407582,0.657391,0.444625,24.171875
custom_0216,val_tune,8,zscore,0.25,0.75,0.75,0.25,0.463737,0.232799,0.377193,0.377193,0.268904,0.407582,0.657391,0.444625,24.171875
custom_0246,val_tune,8,zscore,0.25,1.0,1.0,0.25,0.463737,0.232799,0.377193,0.377193,0.268904,0.407582,0.657391,0.444625,24.171875
custom_0055,val_tune,8,zscore,0.0,0.5,0.25,0.0,0.465822,0.231835,0.378184,0.378184,0.273859,0.40198,0.657195,0.444345,24.078125
custom_0085,val_tune,8,zscore,0.0,0.75,0.5,0.0,0.465822,0.231835,0.378184,0.378184,0.273859,0.40198,0.657195,0.444345,24.078125
custom_0110,val_tune,8,zscore,0.0,1.0,0.5,0.0,0.465822,0.231835,0.378184,0.378184,0.273859,0.40198,0.657195,0.444345,24.078125
custom_0192,val_tune,8,zscore,0.25,0.5,0.75,0.5,0.465548,0.232023,0.379283,0.379283,0.264631,0.407749,0.660322,0.444234,24.140625
custom_0193,val_tune,8,zscore,0.25,0.5,0.75,0.75,0.466989,0.231736,0.380187,0.380187,0.263241,0.408804,0.660557,0.444201,24.21875
custom_0531,val_tune,16,zscore,1.0,0.25,0.25,0.25,0.462082,0.236879,0.377989,0.377989,0.276229,0.392656,0.663509,0.444132,23.125
